@passage_line	There are many adventurers in the guild.	公会里有很多冒险者。	ギルドには冒険者がたくさんいます。	In der Gilde gibt es viele Abenteurer.	En el gremio hay muchos aventureros.
@passage_line	I am a new apprentice.	我是新来的学徒。	わたしは新しい見習いです。	Ich bin ein neuer Lehrling.	Soy un nuevo aprendiz.
@passage_line	My name is Alex.	我的名字是阿历克斯。	わたしの名前はアレックスです。	Mein Name ist Alex.	Me llamo Alex.
@passage_line	The guild master's name is Leon.	公会长的名字是里昂。	ギルドマスターの名前はレオンです。	Der Name des Gildemasters ist Leon.	El nombre del maestro del gremio es León.
@passage_line	Leon is a very strong person.	里昂是个非常强大的人。	レオンさんはとても強い人です。	Leon ist ein sehr starker Mensch.	León es una persona muy fuerte.
@passage_line	"Good morning, Alex," said Emma.	"早上好，阿历克斯，"艾玛说。	「おはようございます、アレックスさん」とエマさんが言いました。	„Guten Morgen, Alex", sagte Emma.	«Buenos días, Alex», dijo Emma.
@passage_line	Emma is also an apprentice.	艾玛也是学徒。	エマさんも見習いです。	Emma ist auch ein Lehrling.	Emma también es aprendiz.
@passage_line	"Good morning," I said.	"早上好，"我说。	「おはようございます」とわたしが言いました。	„Guten Morgen", sagte ich.	«Buenos días», dije yo.
@passage_line	From today we will work together.	从今天起，我们将一起工作。	今日から、わたしたちは一緒に働きます。	Ab heute werden wir zusammen arbeiten.	Desde hoy trabajaremos juntos.
@passage_line	We will search for the Crystal of Light.	我们将寻找光之水晶。	光のクリスタルを探します。	Wir werden nach dem Kristall des Lichts suchen.	Buscaremos el Cristal de Luz.


# ── Section 2: The Missing Crystal ───────────────────────────────────────────
@section	02	The Missing Crystal	消失的水晶	消えたクリスタル	Das verschwundene Kristall	El cristal desaparecido
@vocab	ひかり	クリスタル	ここ	あります	いません	たいせつ	いっしょ	さがす
@grammar	adv-ja-g-002	adv-ja-g-003

adv010102-01	guild_master		This is important.	这很重要。	これは大切なことです。	Das ist wichtig.	Esto es importante.
adv010102-02	guild_master		The Crystal of Light is not here.	光之水晶不在这里。	光のクリスタルはここにありません。	Das Kristall des Lichts ist nicht hier.	El Cristal de Luz no está aquí.
adv010102-03	emma		The Crystal of Light?	光之水晶？	光のクリスタルですか？	Das Kristall des Lichts?	¿El Cristal de Luz?
adv010102-04	guild_master		Yes. It is very important.	是的。它非常重要。	はい。とても大切です。	Ja. Es ist sehr wichtig.	Sí. Es muy importante.
adv010102-05	guild_master		Are you also an adventurer?	你也是冒险者吗？	あなたも冒険者ですか？	Bist du auch ein Abenteurer?	¿Tú también eres aventurero?

adv010102-06a	player		Yes! I am an adventurer.	是的！我是冒险者。	はい！わたしは冒険者です。	Ja! Ich bin ein Abenteurer.	¡Sí! Soy un aventurero.
adv010102-06b	player		I am only an apprentice.	我只是个学徒。	わたしは見習いだけです。	Ich bin nur ein Lehrling.	Solo soy un aprendiz.

adv010102-07a	guild_master		Good! Let us search together.	好！我们一起找吧。	よかった！一緒に探しましょう。	Gut! Lasst uns gemeinsam suchen.	¡Bien! Busquemos juntos.
adv010102-07b	guild_master		That is fine too. Let us search together.	那也没关系。我们一起找吧。	それもいいです。一緒に探しましょう。	Das ist auch gut. Lasst uns gemeinsam suchen.	Eso también está bien. Busquemos juntos.

adv010102-08	emma		Where is the crystal?	水晶在哪里？	クリスタルはどこですか？	Wo ist das Kristall?	¿Dónde está el cristal?
adv010102-09	guild_master		I do not know. That is the question.	我不知道。这就是问题所在。	わかりません。それが問題です。	Ich weiß es nicht. Das ist die Frage.	No lo sé. Esa es la pregunta.

adv010102-10q	question		What is not here?	什么不在这里？	何がここにありませんか？	Was ist nicht hier?	¿Qué no está aquí?
adv010102-11a	option	correct	The Crystal of Light.	光之水晶。	光のクリスタルです。	Das Kristall des Lichts.	El Cristal de Luz.
adv010102-11b	option		Leon.	里昂。	レオンです。	Leon.	León.
adv010102-11c	option		Emma.	艾玛。	エマです。	Emma.	Emma.
